"st","state","year","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive"
"NJ","New Jersey",2019,0.931790854405481,0.286891234659082,0.00286891234659082,1.47746992333712
"NJ","New Jersey",2018,0.829056325496928,0.286145903829452,0.00286145903829452,0.904192546904729
"NJ","New Jersey",2017,0.733316787700493,0.283111068161209,0.00283111068161209,0.00739463789535409
"NJ","New Jersey",2016,0.867758023239505,0.284581178680455,0.00284581178680455,0.236705588468309
"NJ","New Jersey",2015,0.682955569544818,0.283387466776237,0.00283387466776237,0.285473376137593
"NJ","New Jersey",2014,0.663942938186562,0.281741782538853,0.00281741782538853,0.113490163207877
"NJ","New Jersey",2013,1.22189398785061,0.283189369087092,0.00283189369087092,0.00905214567321282
"NJ","New Jersey",2012,1.22638589959201,0.280683542585199,0.00280683542585199,-0.0225443788606857
"NJ","New Jersey",2011,0.956093568463738,0.281637047226328,0.00281637047226328,-0.2719991802658
"NJ","New Jersey",2010,0.954834129173038,0.278573644126442,0.00278573644126442,-0.291675509448495
"NJ","New Jersey",2009,1.08233122492274,0.287426369882359,0.00287426369882359,-0.148019794088765
"NJ","New Jersey",2008,1.0816848141184,0.284147798101119,0.00284147798101119,-0.168442294649082
"NJ","New Jersey",2007,0.830925364852769,0.28672787195487,0.0028672787195487,-0.255852734535636
"NJ","New Jersey",2006,0.833013899644517,0.283708920540381,0.00283708920540381,-0.271547785443303
"NJ","New Jersey",2005,1.17653814077659,0.28232488431907,0.0028232488431907,-0.109924257561444
"NJ","New Jersey",2004,1.17558132799293,0.284464093177037,0.00284464093177037,-0.104538096878411
"NJ","New Jersey",2003,1.09392766103373,0.284975460310229,0.00284975460310229,-0.108942340977722
"NJ","New Jersey",2002,1.09466226407484,0.289294744969383,0.00289294744969383,-0.0985468468025776
"NJ","New Jersey",2001,-0.00877482522625691,0.286402202984716,0.00286402202984716,-0.61681061983624
"NJ","New Jersey",2000,-0.0176273180311419,0.284511905231798,0.00284511905231798,-0.625597586647686
"NM","New Mexico",2023,0.838545203384749,0.285339939498496,0.00285339939498496,2.31444017136877
"NM","New Mexico",2022,0.820702145291773,0.284856656525958,0.00284856656525958,2.19978469608229
"NM","New Mexico",2021,0.912420124324238,0.286061430661011,0.00286061430661011,2.23784449328329
"NM","New Mexico",2020,0.914595300289884,0.286147655832679,0.00286147655832679,2.23784449328329
"NM","New Mexico",2019,0.917110126238427,0.284013763577815,0.00284013763577815,1.54932492338125
"NM","New Mexico",2018,0.866667620205802,0.285556531834799,0.00285556531834799,1.3200139728083
"NM","New Mexico",2017,0.900381009468092,0.286492311856585,0.00286492311856585,0.761729343125773
"NM","New Mexico",2016,0.905408583491098,0.282143049478979,0.00282143049478979,0.761729343125773
"NM","New Mexico",2015,0.788986615249713,0.283195076585908,0.00283195076585908,0.0419966865581768
