state,state_abbr,S_year,E_year,S,ln_gdppc,activity,ln_density
Oklahoma,OK,2009,2007,-0.86993706,10.646975959698386,63.3,3.9699433688107995
Oklahoma,OK,2010,2008,-0.8721161,10.676670144642992,63.5,3.979425970083638
Oregon,OR,2002,2000,0.38046592,10.652663339276975,68.6,3.575924170094733
Oregon,OR,2003,2001,0.45681,10.637381463912087,67.8,3.5870089363994104
Oregon,OR,2004,2002,0.68543863,10.644536697170654,67.4,3.6000401042998247
Oregon,OR,2005,2003,1.1498452,10.681387092076875,67.0,3.609657218984141
Oregon,OR,2006,2004,1.1859359,10.729373097575632,66.3,3.6158642080453185
Oregon,OR,2007,2005,1.1615982,10.751486800193764,65.5,3.6280434035554445
Oregon,OR,2008,2006,1.1287297,10.784728487408358,65.4,3.6438812763181985
Oregon,OR,2009,2007,1.6148106,10.790354756094809,65.4,3.6578222322200156
Oregon,OR,2010,2008,1.6427376,10.80051708029052,65.7,3.67019189454937
Pennsylvania,PA,2002,2000,-0.037867166,10.738480859332983,64.4,5.615148386917288
Pennsylvania,PA,2003,2001,0.08736683,10.75725551442991,65.0,5.61635222011201
Pennsylvania,PA,2004,2002,0.11494533,10.764693481836387,65.0,5.6189556319517795
Pennsylvania,PA,2005,2003,0.44551405,10.78704812475941,64.1,5.622487372786639
Pennsylvania,PA,2006,2004,0.08252591,10.810747011842436,64.4,5.625397477489597
Pennsylvania,PA,2007,2005,-0.07254009,10.825849141569742,64.5,5.628556520774956
Pennsylvania,PA,2008,2006,-0.18167527,10.821454547975174,64.5,5.6334296917307185
Pennsylvania,PA,2009,2007,0.08635531,10.853340150253931,64.6,5.637667268414594
Pennsylvania,PA,2010,2008,0.105661936,10.873093963334924,65.1,5.641508040031073
Rhode Island,RI,2002,2000,0.78565437,10.752845891478657,66.8,6.923473601303682
Rhode Island,RI,2003,2001,0.4485859,10.758295794044825,66.1,6.929997271950384
Rhode Island,RI,2004,2002,0.3874519,10.781231306139476,66.4,6.9383368669078465
Rhode Island,RI,2005,2003,0.39142534,10.807872062839502,67.2,6.943340299829169
